id;date;details;status;payment_method;payment_date;payment_amount
1;2020-07-06T17:42:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-07-07T02:04:57;64379
2;2020-07-06T14:32:56;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-07-06T19:43:14;17323
3;2020-07-06T19:00:21;Incredible Baby;CANCELLED;PAYPAL;2020-07-06T22:32:02;11017
4;2020-07-06T16:30:16;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-07-06T16:34:24;51438
5;2020-07-06T11:10:24;function;PAID;PAYPAL;2020-07-07T03:44:29;32278
6;2020-07-06T12:10:12;action-items;CANCELLED;CASH_ON_DELIVERY;2020-07-07T01:57:24;5232
7;2020-07-07T04:56:55;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-07-06T22:34:17;62169
8;2020-07-06T14:51:59;Toys;ISSUED;PAYPAL;2020-07-07T01:29:56;10756
9;2020-07-06T16:22:24;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-07-07T06:05:57;58055
10;2020-07-06T15:00:09;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-07-07T03:26:20;94075
