id;placed_date;status;code
1;2020-07-07T01:04:50;COMPLETED;Georgia calculate withdrawal
2;2020-07-06T12:01:20;COMPLETED;compress Steel out-of-the-box
3;2020-07-06T13:32:32;PENDING;Concrete
4;2020-07-07T02:58:27;CANCELLED;Investment Account
5;2020-07-06T14:15:17;PENDING;United States of America
6;2020-07-07T04:27:21;CANCELLED;IB Industrial Credit Card Account
7;2020-07-07T07:33:46;CANCELLED;Cotton Egyptian Pound
8;2020-07-06T16:29:50;COMPLETED;Home Loan Account
9;2020-07-07T01:24:06;COMPLETED;Human
10;2020-07-06T11:32:44;CANCELLED;payment
